car_brand,purchase_date,purchase_value,engine_condition,no_of_buyers,fuel_type,kilometer_running,reparation_work,today_value
Audi,2017-09-21,1355510,Average,5,Hybrid,16298,Yes,110137
Ford,2021-12-03,2570355,Average,1,Electric,32490,Yes,517815
Mahindra,2016-02-13,2380731,Excellent,5,Petrol,90283,No,160639
Mahindra,2024-08-12,948740,Good,1,Petrol,108891,No,241937
Honda,2019-08-05,2019877,Average,5,Diesel,68114,Yes,170456
Audi,2019-08-15,1766255,Poor,3,Hybrid,52813,No,159597
Maruti,2015-03-27,722290,Good,1,Petrol,98703,No,50000
Kia,2018-02-07,310762,Average,2,Hybrid,121261,Yes,50000
Kia,2021-07-29,383710,Poor,1,Electric,57686,No,55142
Honda,2018-04-24,2112169,Good,2,Hybrid,42360,No,282870
Honda,2017-04-01,1577632,Poor,4,Petrol,192169,Yes,50000
Mahindra,2021-06-09,2736891,Good,4,Diesel,6358,No,582665
Hyundai,2019-10-05,651799,Excellent,4,Electric,84622,No,105356
Hyundai,2022-04-20,1471690,Poor,3,Petrol,142271,Yes,103332
BMW,2018-10-14,2631303,Poor,3,Hybrid,57962,Yes,182921
Ford,2020-01-06,1737608,Excellent,2,Petrol,9299,No,363672
Mahindra,2021-08-11,2895068,Poor,1,Hybrid,71465,Yes,334303
Maruti,2021-02-27,1812478,Good,3,Hybrid,19621,No,397640
Ford,2018-03-20,1946196,Excellent,1,Petrol,61430,No,262630
Honda,2019-12-31,2379165,Good,3,Electric,49919,No,409558
Kia,2023-07-08,2600501,Poor,5,Diesel,7361,Yes,393158
Tata,2022-08-11,2919423,Poor,2,Electric,75368,Yes,393488
BMW,2023-07-02,1612541,Good,2,Diesel,11843,No,526499
BMW,2017-09-20,1355133,Good,3,Petrol,93806,No,109360
BMW,2020-01-12,1259544,Good,5,Petrol,155937,Yes,82730
Hyundai,2024-12-23,658229,Poor,2,Petrol,34171,No,141203
Maruti,2024-08-04,2035552,Poor,5,Electric,143878,Yes,221655
Tata,2020-03-30,717957,Poor,3,Hybrid,139354,Yes,50000
Honda,2023-01-10,1642260,Excellent,5,Hybrid,112845,Yes,312800
Hyundai,2020-02-11,2116897,Excellent,2,Electric,19810,No,526923
Ford,2015-05-22,467475,Poor,3,Diesel,48948,No,50000
Mahindra,2017-03-12,719089,Poor,5,Petrol,8709,No,50000
Honda,2017-01-10,1543715,Excellent,3,Petrol,143520,No,101364
BMW,2023-07-08,618151,Average,1,Electric,34653,Yes,160063
Hyundai,2020-04-27,790742,Poor,3,Petrol,196190,Yes,50000
Toyota,2017-10-12,835027,Average,3,Diesel,92800,Yes,52752
Mahindra,2023-03-16,1005097,Poor,1,Petrol,65600,No,149969
Mahindra,2021-12-28,2261934,Poor,4,Diesel,193625,Yes,103066
Audi,2019-07-30,1217012,Poor,1,Electric,34614,Yes,124553
Toyota,2015-04-16,1317756,Excellent,3,Hybrid,97453,No,96476
